Repo,CDash URL,Clang-Tidy Metrics
spack/spack,https://cdash.spack.io,no
kokkos/kokkos,https://my.cdash.org/index.php?project=Kokkos,no
trilinos/Trilinos,https://trilinos-cdash.sandia.gov,no
LLNL/zfp,https://open.cdash.org/index.php?project=zfp,no
HDFGroup/hdf5,https://my.cdash.org/index.php?project=HDF5,no
visit-dav/visit,https://cdash.hpcvis.com,no
ginkgo-project/ginkgo,https://my.cdash.org/index.php?project=Ginkgo%20Project,no
kokkos/kokkos-kernels,https://my.cdash.org/index.php?project=Kokkos%20Kernels,no
sandialabs/Albany,https://my.cdash.org/index.php?project=Albany,no
ornladios/ADIOS2,https://open.cdash.org/index.php?project=ADIOS,no
Alpine-DAV/ascent,https://my.dash.org/index.php?project=AscentParaViewTests,no
xiaoyeli/superlu_dist,https://my.cdash.org/index.php?project=superlu_dist,no
diatomic/diy,https://open.cdash.org/index.php?project=diy,no
viskores/viskores,https://open.cdash.org/index.php?project=Viskores,no
E4S-Project/e4s,https://cdash.spack.io,no
